Department,Gender,GPA,Field,Backlogs,mark10,mark12,Quota,Package
ECE,Male,8.82,Core,0,91.2,98.3,General,20.2
Mech,Male,7.48,Core,0,87.4,90.4,General,14.8
Mech,Male,7.51,Core,0,98,98.3,OBC,7
Chem,Male,8.15,Core,0,93,76.8,General,7
MME,Female,7.36,Core,0,85.5,94.25,SC,6.25
ICE,Male,8.96,Core,0,95,95.2,General,7
Chem,Male,7.87,Core,0,83,90,OBC,7.5
CSE,Male,8.81,Software,0,95,96.2,OBC,45
Chem,Male,8.65,Analytics,0,95.6,97,General,7.5
Civil,Female,8.87,Core,0,95,98.5,General,4.75
Mech,Male,7.38,Software,0,95,97.2,General,13.6
CSE,Female,8.51,Software,0,93.2,99.1,OBC,20.2
CSE,Male,6.4,Software,0,95,94.4,General,10.5
CSE,Female,9,Software,0,93,93,General,35
Civil,Female,7.79,Analytics,0,95,94,General,8.3
ICE,Female,7.13,Core,0,93.1,98.2,OBC,6.25
Mech,Male,8.43,Core,0,98,98.6,OBC,7
MME,Male,7.52,Analytics,0,95,96.8,OBC,6
ICE,Male,6.95,Core,0,90.25,98.2,General,4
CSE,Male,9.27,Software,0,95,96.8,General,30
Chem,Male,7.54,Analytics,0,95,91.8,General,8.1
CSE,Male,9.18,Software,0,100,97.4,General,15
Mech,Male,7.99,Core,0,95,98.2,General,7
CSE,Male,8.02,Software,0,95,96.2,General,16
Chem,Male,8.15,Analytics,0,81.7,90.8,SC,7.5
ICE,Male,7.09,Core,0,87,95,General,8
ECE,Female,9.28,Core,0,95,97.4,General,20.6
EEE,Male,7.62,Analytics,0,95,97,General,8.5
ECE,Female,7.4,Analytics,0,95,96.4,OBC,10
ICE,Female,7.66,Software,0,100,96,General,12.93
ECE,Male,7.48,Software,0,93.1,98.5,OBC,11
EEE,Male,8.24,Core,0,95,98.1,SC,14.8
Chem,Female,8.81,Analytics,0,9.5,97.6,General,8.5
Prod,Male,9.26,Core,0,95,95.2,OBC,6
ECE,Male,7.34,Analytics,0,93.9,90.5,General,10
Chem,Male,8.26,Analytics,0,94.36,85.85,General,10
EEE,Female,8.69,Core,0,95,98.2,General,7.5
Prod,Female,9.56,Management,0,95,96.2,General,28
EEE,Male,7.98,Software,0,95,97,General,14
Mech,Male,8.78,Core,0,96.6,93.08,General,6.25
ICE,Male,8.54,Analytics,0,95,86.5,General,10.6
Prod,Male,8.76,Core,0,93.1,98,General,8.3
ICE,Male,7.88,Software,0,100,94.4,General,12.93
EEE,Male,7.52,Software,0,95,95,OBC,12.93
Chem,Male,7.12,Software,0,95,95.8,OBC,12.93
EEE,Female,8.04,Software,0,98,93.8,SC,11
EEE,Male,7.65,Core,0,98.2,95.16,SC,8.3
Prod,Male,7.18,Analytics,0,79.8,76,General,10
Civil,Male,8.01,Core,0,90.25,98.7,General,5.5
CSE,Female,8.12,Software,0,95,96.6,General,22
CSE,Male,8.08,Software,0,95,99,General,22
Mech,Male,8.43,Management,0,95,96.2,General,11
Civil,Female,8.29,Core,0,92.15,98.2,OBC,4.8
EEE,Male,8,Core,0,93,93,General,7
EEE,Male,9.35,Software,0,95.2,93.54,OBC,12.93
ECE,Male,8.86,Core,0,95,96.8,General,17
ICE,Female,8.39,Software,0,95,94.8,General,13.6
EEE,Male,8.51,Software,0,95,94.4,General,13.6
ECE,Female,7.69,Core,0,93.1,91.2,General,10.6
CSE,Male,7.65,Software,0,89.3,95.4,OBC,19.89
Prod,Male,8.38,Analytics,0,92,80.6,SC,10
ECE,Female,7.38,Core,0,93.1,98.6,OBC,4
CSE,Male,6.25,Software,0,93.1,98.3,SC,13.6
MME,Female,7.5,Analytics,0,93.1,98.9,OBC,8.3
ECE,Male,7.84,Software,0,95,94.6,OBC,19.89
EEE,Female,7.9,Core,0,92,98.6,OBC,7
CSE,Male,8.5,Software,0,100,94.8,OBC,16
Mech,Male,8.86,Core,0,91.2,94.4,General,14
ECE,Male,8.55,Core,0,88.35,98.5,General,20.8
ECE,Male,8.6,Core,0,95,95,OBC,15.54
Mech,Male,8.79,Core,0,95,96.6,General,8.3
Prod,Male,8.29,Analytics,0,93,87.85,General,7.5
CSE,Female,7.4,Software,0,95,98.5,OBC,7.2
ICE,Female,7.33,Core,0,100,98.8,General,14.8
ECE,Male,7.18,Core,0,95,99,OBC,15
EEE,Male,7.84,Core,0,95,98.1,OBC,8
Prod,Male,9.11,Software,0,92,93.4,OBC,8
Civil,Female,8.41,Core,0,92.15,98.7,OBC,4.75
Civil,Male,8.24,Core,0,90.5,85,General,4.75
ECE,Female,8.24,Software,0,95,98.8,General,13.6
CSE,Male,7.56,Software,0,87.33,95.4,OBC,15
ICE,Male,8.08,Software,0,92,97.5,OBC,11
Prod,Male,8.99,Analytics,0,100,95,General,10
Prod,Male,8.42,Software,0,87.5,95.6,General,13.6
Civil,Male,9.04,Core,0,95,96.2,OBC,4.75
CSE,Female,7.9,Software,0,95,99,OBC,15
Prod,Male,8.75,Software,0,93.1,94.6,General,12.93
ECE,Male,9.14,Core,0,93.1,98.5,OBC,15
Prod,Female,7.61,Core,0,91.4,84.42,SC,7.5
MME,Male,9.31,Software,0,95,96.8,General,11
Chem,Male,7.9,Management,0,95,97,OBC,9
ECE,Male,8.83,Analytics,0,95,95.2,General,10
EEE,Female,8.48,Core,0,95,96,General,10.6
Mech,Male,7.86,Core,0,94.6,94.6,OBC,4.5
CSE,Male,8.77,Software,0,90.25,98.8,General,19.89
Civil,Male,8.62,Core,0,95,97.1,General,6
Civil,Male,7.82,Analytics,0,95,95.6,General,8
ICE,Male,7.59,Software,0,95,94.6,General,22
Prod,Male,7.98,Analytics,0,97,98.7,General,9
Civil,Male,6.99,Analytics,0,86.17,93.4,OBC,5.5
ECE,Male,7.62,Software,0,100,95.8,General,22
Mech,Male,7.91,Core,0,95,93.8,OBC,10.6
Chem,Male,8.3,Analytics,0,95,94.4,General,6.5
Civil,Male,8.41,Core,0,93.1,94.4,OBC,6
ECE,Male,9.39,Core,0,89.5,95.6,General,20.2
EEE,Male,8.18,Core,0,88.67,91,OBC,7.2
EEE,Male,6.96,Core,0,9.7,98.4,SC,7
Mech,Male,7.04,Software,0,95,94,OBC,10
CSE,Male,8.78,Software,0,92.17,98.2,OBC,19.89
EEE,Male,8.58,Software,0,95,96,General,19.89
Prod,Male,7.54,Core,0,100,97.2,OBC,5.5
EEE,Female,7.35,Software,0,95,98.4,OBC,9
Prod,Male,7.35,Analytics,0,98,85,SC,6.5
Mech,Male,7.97,Core,0,95,93.6,OBC,6
Civil,Male,7.53,Analytics,0,95,94.8,General,4.5
Prod,Male,8.19,Analytics,0,89,91.6,General,8
Chem,Male,8.66,Management,0,96.4,92.46,General,18
EEE,Male,9.84,Analytics,0,96.6,92.43,General,9
Mech,Male,8.81,Analytics,0,96.6,92.62,General,8
EEE,Male,7.28,Core,0,93,97.7,OBC,14.48
ICE,Female,8.85,Core,0,95,97.2,General,15.54
ICE,Male,8.54,Software,0,93.1,97.9,General,12.93
ECE,Male,9.57,Core,0,90.25,98.6,General,15
Mech,Male,8.71,Core,0,100,100,OBC,7.5
Chem,Male,6.91,Analytics,0,95,94.6,OBC,6.5
ICE,Male,8.23,Core,0,95,88.6,General,8
Civil,Male,7.48,Analytics,0,93.1,97.2,General,7.5
Chem,Male,8.37,Analytics,0,89.2,78.2,General,10
CSE,Male,8.89,Software,0,95,98.7,General,16
Civil,Female,8.41,Software,0,95,96.2,General,43
EEE,Male,7.42,Core,0,9.7,9.73,PwD,14.8
Chem,Male,7.71,Analytics,0,95,86.2,General,6.5
ECE,Male,6.26,Software,0,93.1,98.4,SC,9
ECE,Male,8.79,Analytics,0,93,93,General,9
Chem,Male,8.26,Core,0,95,98.1,OBC,10.6
Mech,Male,8.83,Management,0,93,94.8,General,7
ICE,Male,7.54,Software,0,95,95,General,11
ECE,Female,8.52,Core,0,95,98.6,SC,10.6
CSE,Male,8.27,Software,0,95,92,General,19.89
ICE,Female,7.77,Software,0,95,98.4,OBC,13.6
MME,Male,8.79,Analytics,0,94,88.62,OBC,6
Mech,Male,6.66,Core,0,91.2,95.16,SC,4.5
ECE,Male,6.86,Software,0,89.3,92,General,11
Chem,Male,8.25,Core,0,91.2,90.2,OBC,7.5
Prod,Male,8.09,Software,0,96.8,84.31,General,13.6
ICE,Female,7.15,Core,0,95.6,93,SC,18
CSE,Male,8.5,Software,0,98,98.8,General,16
Prod,Male,6.93,Software,0,82.5,87.8,SC,11
EEE,Male,8.95,Core,0,95,96.4,OBC,20
Mech,Male,8.72,Management,0,95,96.6,General,11
Civil,Male,8,Analytics,0,93,93,General,7
EEE,Male,6.81,Core,0,87.4,97,SC,5.5
CSE,Male,9.39,Software,0,95,96.4,General,43
MME,Male,7.93,Analytics,0,95,91.4,OBC,6.5
CSE,Female,7.58,Software,0,95,93,PwD,15
ECE,Male,8.77,Core,0,93.1,98.5,OBC,15.54
ECE,Male,8.08,Core,0,95,96.4,SC,20
Mech,Male,8.6,Core,0,95,95,General,10
CSE,Male,9.16,Software,0,95,97.2,General,16
MME,Male,8.05,Analytics,0,92,94,OBC,6.5
CSE,Male,8.53,Software,0,95,97,General,25.3
Civil,Male,8.3,Analytics,0,95,95,General,8.5
Civil,Male,8.21,Analytics,0,97.6,96.5,OBC,8
ICE,Female,8.34,Core,0,95,96.4,General,15
CSE,Male,8.33,Software,0,98.5,98.6,SC,25.3
EEE,Female,8.32,Core,0,9.21,98.2,SC,5.5
ECE,Male,8.43,Core,0,92.15,98.1,General,17
Prod,Male,7.88,Software,0,95,95.4,General,11
EEE,Male,7.15,Software,0,93.1,95.4,OBC,31.77
Civil,Male,7.93,Core,0,95,98.8,General,4.75
EEE,Male,8.26,Software,0,91,78,General,11
Chem,Male,7.94,Core,0,93.1,97.5,General,7.5
CSE,Male,8.56,Software,0,95,98.4,General,12.93
CSE,Male,8.02,Software,0,95,96,OBC,12.75
ICE,Male,8.35,Core,0,95,98.4,General,7.5
MME,Female,8.47,Software,0,95,95.8,General,11
CSE,Male,8.06,Software,0,95,96.8,OBC,22
Chem,Male,8.53,Core,0,95,76.4,General,7.5
MME,Male,6.68,Analytics,0,85.5,72.8,OBC,5
EEE,Female,9.57,Core,0,95,97.6,General,20.6
Chem,Male,7.86,Core,0,92.15,97.8,OBC,7
MME,Male,8.19,Core,0,93.1,98.3,General,7.5
Chem,Male,8.28,Analytics,0,96.4,95.8,OBC,9
Mech,Male,8.77,Core,0,95.2,94.6,General,7
CSE,Male,9.52,Software,0,95,97,General,36
EEE,Female,7.79,Software,0,95,95.6,OBC,12.93
Prod,Male,7.88,Analytics,1,93.1,92.2,General,10
Civil,Male,7.42,Core,0,95,94.6,OBC,4
ECE,Male,8.02,Software,0,95,97.6,OBC,11
CSE,Male,8.82,Software,0,95,96,SC,19.89
ECE,Male,6.76,Analytics,0,98.2,97.16,OBC,8.1
Prod,Female,8.28,Core,0,95,89.6,General,10.6
Prod,Male,9.1,Software,0,95.6,88,OBC,13.6
ECE,Male,7.11,Software,0,95,86,SC,11
EEE,Male,7.12,Core,0,93.1,87,SC,6.25
EEE,Male,7.99,Core,0,98,98.7,OBC,18
Chem,Male,7.21,Core,0,82,89,General,10.6
ICE,Male,9.15,Software,0,92.15,9.76,OBC,12.93
MME,Male,7.34,Analytics,0,88.35,96.8,SC,6
ECE,Male,7.96,Core,0,93,93,General,20.6
ICE,Male,8.73,Software,0,93.83,97.2,OBC,11
MME,Female,8.52,Management,0,89.3,89,OBC,9.6
Prod,Male,7.61,Analytics,0,9.3,98.6,OBC,5.5
CSE,Male,9.34,Software,0,95,97.2,OBC,43
MME,Male,6.91,Analytics,0,89.3,88.6,OBC,6
Prod,Male,6.31,Software,1,93.1,73.2,OBC,8
EEE,Female,8.22,Core,0,95,97.2,General,17
Civil,Male,7.69,Software,0,93.1,98.6,OBC,9
ECE,Male,8.38,Core,0,93.1,98.6,General,20.2
ICE,Female,8.79,Software,0,95,98,General,12.93
Civil,Male,7.99,Analytics,0,95,94.6,OBC,8.5
ICE,Female,8.08,Software,0,95,97.8,OBC,8.5
ECE,Female,8.55,Software,0,93.1,98.8,OBC,13.6
ECE,Female,9.58,Core,0,95,96.4,General,14.48
CSE,Female,8.97,Software,0,9.5,96.6,General,28
ECE,Male,8.77,Core,0,95,95.8,OBC,12
Chem,Male,8.82,Core,0,95,95,OBC,7
ECE,Male,7.41,Core,0,98,92.5,SC,14.48
Civil,Male,9.05,Core,0,90.33,94.8,General,6
ICE,Female,7.82,Software,0,95,98.4,OBC,11
MME,Male,8.98,Core,0,91.2,93.2,OBC,7.66
CSE,Female,8.34,Software,0,95,93,General,19.89
MME,Male,7.97,Software,0,91.25,97.3,OBC,13.7
EEE,Female,8.23,Core,0,95,97.6,OBC,7
CSE,Male,8.19,Software,0,9.5,94.6,General,30
MME,Male,8,Analytics,0,91.2,93.8,OBC,9
Prod,Male,8.36,Analytics,0,95,91,General,9
Chem,Male,8.79,Management,0,95,95.2,General,28
Mech,Male,9.47,Core,0,95,96.4,General,10.6
CSE,Male,8.55,Software,0,93.1,98.8,General,25
EEE,Male,7.97,Core,0,95,92.8,General,10.6
CSE,Male,7.76,Software,0,96.17,94,OBC,19.89
EEE,Male,8.46,Software,0,86.2,86.44,General,11
EEE,Male,7.62,Core,0,89.3,94,General,8.3
ICE,Male,7.76,Core,0,92.15,98.5,General,7.5
ECE,Male,9.14,Core,0,93.1,98.6,General,20.2
Prod,Female,8.47,Core,0,90,87.2,General,10.6
Prod,Male,8.76,Software,0,95,93.2,General,12.5
CSE,Male,8.49,Software,0,95,96.8,OBC,43
Chem,Male,8.66,Core,0,95,94,General,7
Chem,Female,8.34,Software,0,93.1,98,General,14
Mech,Male,8.31,Core,0,93,96.2,General,10.6
Chem,Male,8.97,Analytics,0,95,93.2,General,8
Mech,Male,8.05,Core,0,97,98.7,OBC,7
Civil,Male,8.11,Analytics,0,95,92.2,General,8.5
Chem,Male,8.22,Analytics,0,91.2,95.4,General,16
CSE,Female,7.56,Software,0,93.1,98.4,SC,7.2
MME,Male,8.76,Core,0,95,90,SC,6
Civil,Female,9.09,Core,0,93.1,99.1,General,6
Mech,Male,6.48,Core,0,79.8,87,OBC,14.8
ICE,Male,6.5,Software,0,10,88.6,OBC,14
ICE,Male,8.64,Core,0,95,95.8,General,8.5
ICE,Male,7.92,Analytics,0,95,94.6,General,10
CSE,Male,7.49,Software,0,95,95.2,SC,31.77
CSE,Male,7.91,Software,0,95,97.8,OBC,19.89
Prod,Male,7.87,Software,0,95,92.2,General,11
Civil,Female,8.91,Core,0,95,95.4,General,6
ICE,Female,8.31,Software,0,95,96,General,12.93
ECE,Male,6.95,Software,0,93.1,98.8,SC,9
EEE,Male,8.88,Core,0,92.15,98.7,General,18
Mech,Male,7.65,Core,0,83.83,93.6,General,7.5
ICE,Male,6.31,Software,0,81.7,78,OBC,10
CSE,Male,7.97,Software,0,95,98.8,General,31.77
Civil,Male,8.19,Core,0,90.25,97.9,General,6
Chem,Male,7.16,Core,0,95,95,SC,7
Prod,Male,7.21,Software,0,93.8,95.8,General,13.6
ECE,Male,7.64,Core,0,93.1,97.7,SC,9
CSE,Male,7.96,Software,0,95,96.8,General,25
ICE,Female,7.44,Core,0,95,97.3,SC,8.5
Civil,Male,8.6,Software,0,95,96,General,12.93
Civil,Male,7.77,Core,0,93.3,98.8,OBC,7
Chem,Female,7.93,Core,0,85.67,90.04,SC,8.7
ECE,Female,7.82,Analytics,0,95,95.4,OBC,16
Mech,Male,7.92,Core,0,93.1,98.4,General,7
ICE,Male,8.24,Core,0,9.5,95.6,OBC,6.2
EEE,Female,7.46,Core,0,95,98.2,OBC,5.5
ECE,Male,8.01,Core,0,95,96,General,20.2
CSE,Female,9.09,Software,0,95,97,OBC,28
ECE,Male,7.13,Software,0,95,94,General,19.89
CSE,Male,5.81,Software,0,93,93,General,7
Mech,Male,7.61,Core,0,95,96.2,General,6
CSE,Male,8.33,Software,1,95,96.8,OBC,9
CSE,Male,6.97,Software,0,95,91,SC,12.75
CSE,Male,7.66,Software,0,93,88.4,SC,20
Mech,Male,8.07,Analytics,0,95,95.8,General,7.5
ECE,Female,8.3,Core,0,93,93,General,20
Chem,Male,6.64,Analytics,0,96.36,77.54,OBC,6.5
EEE,Male,8.93,Core,0,84.67,92.6,OBC,14.48
EEE,Male,9.08,Core,0,96.83,97,General,20
MME,Male,7.5,Software,0,95,91,OBC,13.7
ICE,Male,8.01,Core,0,92.2,98.2,OBC,15
ICE,Male,7.32,Core,0,95,98.7,General,6.25
Prod,Male,8.94,Analytics,0,95,94.6,General,8
Civil,Male,7.28,Analytics,0,91,94.31,OBC,7
ICE,Male,6.64,Software,0,92.8,77.85,SC,8.5
ICE,Male,6.25,Analytics,0,87.4,91,General,16
Civil,Male,6.61,Software,1,95,95.67,OBC,8
Mech,Male,8.9,Core,0,93,93,General,6.25
CSE,Male,7.31,Software,0,92.15,97.9,SC,22
ICE,Male,7.9,Core,0,83.6,97.7,General,8
MME,Male,6.78,Analytics,0,84.33,72.8,PwD,6.8
Mech,Male,7.31,Analytics,0,83.5,94,OBC,8.3
Civil,Male,8.88,Core,0,97,98.6,OBC,4
ICE,Male,7.28,Core,0,89.3,93.4,General,4
Chem,Female,7.73,Core,0,95,91,SC,10.6
Prod,Male,7.91,Software,0,95,93,OBC,13.6
CSE,Male,9.12,Software,0,95,98.7,OBC,28
Prod,Male,8.28,Software,0,95,93.4,General,10
ECE,Male,7.55,Software,0,96.8,95.75,SC,13.6
Mech,Male,9.35,Core,0,95,97,General,10.6
Prod,Male,8.7,Core,0,91.2,85.2,General,8.3
Mech,Male,7.62,Core,0,98,98.6,OBC,8.3
Prod,Male,9.27,Software,0,93.1,96,General,12.93
ICE,Male,7.59,Core,0,95,95.6,General,8
ECE,Female,7.26,Software,0,91.2,85.4,General,13.6
EEE,Male,8.31,Core,0,95,95.2,OBC,20.2
Prod,Male,7.65,Analytics,0,87.4,95.8,OBC,4.5
ECE,Male,7.07,Software,0,85.5,95,OBC,8.5
Mech,Male,8.42,Core,0,93.4,88,OBC,10.6
Mech,Male,8.67,Management,0,95,98.4,General,28
Prod,Female,8.58,Analytics,0,95,96.4,General,8
Prod,Female,9.66,Software,0,97,92.8,General,12.93
Chem,Male,9.63,Core,0,9.5,97.2,General,7.5
ICE,Female,9.14,Core,0,93.385,98.3,General,20.6
ECE,Female,6.41,Software,0,81.25,80.2,General,10
Chem,Male,9.49,Analytics,0,95,91.4,General,16
Prod,Male,8.78,Core,0,92.5,86.4,General,6
MME,Male,7.48,Core,0,87.4,79.2,SC,5
Mech,Male,7.93,Analytics,0,100,98,General,8.5
ECE,Female,8,Management,0,93,93,General,8
ECE,Male,9.73,Core,0,95,97.6,General,15
CSE,Male,7.69,Software,0,95,94.8,OBC,12.93
Prod,Male,8.34,Core,0,95,93.6,OBC,6
Mech,Male,7.26,Core,0,95,92.6,SC,6
EEE,Male,8.9,Software,0,95,96.6,General,25.3
ECE,Male,8.51,Core,0,95,98.2,General,15.54
EEE,Female,8.62,Core,0,93,93,General,20
ICE,Male,7.24,Software,0,95,89,OBC,38
Civil,Male,7.29,Core,0,92.15,98.3,SC,4.5
CSE,Male,7.26,Software,0,95,98.8,SC,28
CSE,Male,8.94,Software,0,96.8,96.62,OBC,31.77
ICE,Female,7.74,Software,0,95,94.6,OBC,11
MME,Male,9.29,Core,0,95,95,General,10.11
ICE,Male,8.1,Core,0,95.6,98.1,OBC,7.5
Mech,Male,7.79,Core,0,100,98.2,OBC,5.5
Chem,Female,8,Management,0,93,93,General,8
Mech,Male,6.89,Analytics,0,98.2,96.4,SC,10
Chem,Male,8.64,Core,0,95,96.8,General,7.5
Civil,Male,8.6,Core,0,79.4,79.2,SC,7
Prod,Female,7.1,Core,0,95,71.4,SC,5.5
ICE,Male,8.04,Software,0,9.71,9.56,OBC,22
EEE,Male,7.8,Core,0,92.15,97.9,General,7.5
ICE,Female,8.24,Core,0,91.2,93.8,SC,5
Civil,Female,8.8,Core,0,95,93.8,OBC,6
ECE,Male,6.29,Analytics,0,95,96.8,General,8.3
Prod,Male,9.06,Core,0,84.8,89.38,General,7
ICE,Male,6.61,Core,0,89,70,General,7
ECE,Male,6.98,Software,0,93,93,General,11
CSE,Male,7.72,Software,0,95,92.6,General,26
EEE,Female,8.1,Core,0,98.2,94.4,OBC,14.48
Mech,Male,7.86,Core,0,100,98.5,General,5.5
Mech,Male,8.66,Core,0,95,97.9,SC,7
Prod,Male,7.06,Analytics,0,89,86.4,SC,7.5
Civil,Female,8.64,Core,0,95,94.8,General,8
Prod,Male,7.09,Software,0,85,91.5,PwD,8
ICE,Male,8.56,Software,0,95,93.2,General,12.93
Chem,Female,9.09,Core,0,95,96.4,General,10.6
CSE,Female,8.72,Software,0,95,96,OBC,19.89
ECE,Female,9.21,Core,0,95,96.6,OBC,8
Mech,Male,9.9,Core,0,99,98.9,OBC,8.3
EEE,Male,7.77,Software,0,95,93.2,OBC,13.6
EEE,Male,8.98,Analytics,0,95,96.6,General,10.6
CSE,Male,8.46,Software,0,95,95.2,General,22
EEE,Female,8.47,Core,0,93.1,98.8,General,5.5
Prod,Male,8.85,Management,0,95,92.2,General,11
EEE,Male,7.64,Core,0,93.1,98.2,General,7
Mech,Male,8.51,Analytics,0,96.6,88.77,SC,7.5
MME,Male,7.36,Analytics,0,95,88.4,General,7.5
Prod,Male,7.86,Analytics,0,97.6,94.2,OBC,9
Prod,Male,9.56,Analytics,0,95,96.6,General,10.6
ICE,Female,8.34,Management,0,95,98.6,General,9.6
ECE,Female,7.46,Software,0,9.5,98.6,General,13.6
Chem,Male,7.65,Software,0,95,93.6,SC,11
EEE,Male,8.24,Software,0,94.4,86.15,SC,10
EEE,Female,6.97,Core,0,93.1,94.6,OBC,20.6
CSE,Female,7.25,Software,0,95,99,General,43
ECE,Male,7.28,Core,0,95,94.2,OBC,8
CSE,Male,8.794,Software,0,95,97.8,OBC,31.77
Mech,Male,8.07,Analytics,0,95,96.4,General,10
CSE,Male,9,Software,0,95,99.2,General,28
CSE,Male,8.42,Software,0,95,98.9,General,43
Mech,Male,6.47,Core,0,100,93.8,SC,4.5
ICE,Male,8.11,Software,0,94.5,95.2,General,12.93
ECE,Male,8.48,Core,0,95,97,General,12
CSE,Male,8.55,Software,0,90.25,98.9,General,25
CSE,Male,8.72,Software,0,95,98.8,OBC,15.11
CSE,Male,6.84,Software,0,9.5,91.8,General,12.93
ECE,Male,7.16,Software,0,95,88,SC,12.93
ECE,Male,8.91,Core,0,95,97.4,General,20.6
CSE,Male,7.36,Software,0,97.4,95,SC,28
ICE,Female,8.02,Software,0,93.1,97.9,OBC,12.93
MME,Male,7.38,Core,0,95,86,General,14.48
Mech,Male,7.57,Core,0,98,98.7,OBC,7
ICE,Female,8.46,Core,0,95,94,OBC,7
CSE,Male,7.62,Software,0,95,99,General,19.89
Civil,Female,8.76,Analytics,0,95,95.4,OBC,8.1
ECE,Male,8.76,Core,0,92.15,98.3,General,20.2
Mech,Male,7.89,Core,0,95,95.2,OBC,8.3
CSE,Male,8.83,Software,0,95,96.8,OBC,30
ICE,Male,8.64,Core,0,95,95.8,General,14.48
Mech,Male,8.27,Core,0,97,98.1,OBC,7
Prod,Male,8.16,Analytics,0,95.8,89.08,General,8
ICE,Male,8.06,Core,0,92.15,98.2,OBC,7.5
Mech,Male,7.66,Analytics,0,95,90.2,OBC,10
Prod,Female,9.24,Management,0,95,95.8,General,28
Mech,Male,8.42,Analytics,0,100,96.2,General,10
Civil,Male,8.08,Core,0,95,94.6,General,6
Civil,Male,8.12,Software,0,93.1,94.6,General,13.6
Mech,Male,7.57,Analytics,0,91.2,84,OBC,7.5
ICE,Female,8.49,Software,0,95,97.4,General,13.6
Prod,Female,8.06,Core,0,9.2,93,SC,10
